"Duration","Distance","Latitude","Longitude","AltitudeOriginal","AltitudeCorrected","HeartRate","Cadence","PowerCalculated",
"1","0.6624","43.684792","-79.296672","130","130","134","82","160",
"1","0.6642","43.684798","-79.29665","130","130","134","82","159",
"1","0.666","43.684808","-79.296629","130","130","134","82","162",
"1","0.6679","43.684814","-79.296607","130","130","134","82","166",
"1","0.6703","43.684819","-79.296586","130","130","134","83","169",
"1","0.6727","43.68483","-79.296564","130","130","134","83","171",
"1","0.6748","43.684835","-79.296543","130","130","134","84","173",
"1","0.6767","43.684841","-79.296522","130","130","134","84","173",
"1","0.6785","43.684851","-79.2965","130","130","134","85","173",
"1","0.6798","43.684857","-79.296479","130","130","134","85","172",
"1","0.681","43.684867","-79.296457","130","130","134","84","171",
"1","0.6825","43.684873","-79.296436","130","130","134","84","170",
"1","0.6844","43.684878","-79.296414","130","130","134","84","171",
"1","0.6862","43.684878","-79.296393","130","130","134","83","172",
"1","0.688","43.684883","-79.296371","130","130","134","83","172",
"1","0.6897","43.684889","-79.29635","130","130","134","83","172",
"1","0.6916","43.684894","-79.296328","130","130","135","83","173",
"1","0.6943","43.6849","-79.296307","130","130","136","82","173",
"1","0.6969","43.684905","-79.296286","130","130","137","82","174",
"1","0.6994","43.68491","-79.296264","130","130","138","82","174",
"1","0.7018","43.684916","-79.296243","130","130","138","82","174",
"1","0.7042","43.684921","-79.29621","130","130","138","82","173",
"1","0.7064","43.684932","-79.296189","130","130","138","82","173",
"1","0.7087","43.684942","-79.296167","130","130","138","82","174",
"1","0.7107","43.684948","-79.296146","130","130","138","82","175",
"1","0.7125","43.684959","-79.296114","130","130","138","82","178",
"1","0.7144","43.684964","-79.296092","130","130","138","82","181",
"1","0.7164","43.684975","-79.296071","130","130","138","82","182",
"1","0.7185","43.68498","-79.296049","130","130","138","82","182",
"1","0.7205","43.684985","-79.296028","130","130","137","82","183",
"1","0.7225","43.684996","-79.295996","130","130","137","82","184",
"1","0.7246","43.685001","-79.295974","130","130","136","82","185",
"1","0.7265","43.685007","-79.295953","130","130","136","82","185",
"1","0.7284","43.685018","-79.295931","130","130","136","82","183",
"1","0.7304","43.685023","-79.29591","130","130","136","82","180",
"1","0.7327","43.685023","-79.295878","130","130","136","82","179",
"1","0.7349","43.685034","-79.295856","130","130","137","82","179",
"1","0.7371","43.685034","-79.295835","130","130","137","82","178",
"1","0.7392","43.685044","-79.295803","130","130","137","82","178",
"1","0.7413","43.68505","-79.295781","130","130","137","82","178",
"1","0.7434","43.685055","-79.29576","130","130","137","82","178",
"1","0.7456","43.68506","-79.295738","130","130","137","82","178",
"1","0.7475","43.685066","-79.295706","130","130","137","82","179",
"1","0.7494","43.685071","-79.295685","130","130","138","82","179",
"1","0.7513","43.685077","-79.295663","130","130","138","82","178",
"1","0.7534","43.685082","-79.295631","130","130","138","82","180",
"1","0.7556","43.685082","-79.29561","130","130","138","82","182",
"1","0.7575","43.685087","-79.295588","130","130","139","82","184",
"1","0.7594","43.685093","-79.295567","130","130","139","82","185",
"1","0.7613","43.685093","-79.295534","130","130","139","82","186",
"1","0.7635","43.685093","-79.295513","130","130","139","82","185",
"1","0.7657","43.685093","-79.295481","130","130","139","82","183",
"1","0.7679","43.685087","-79.295459","130","130","139","82","182",
"1","0.7701","43.685087","-79.295427","130","130","138","83","181",
"1","0.7724","43.685082","-79.295406","130","130","138","84","181",
"1","0.7743","43.685082","-79.295384","130","130","138","84","181",
"1","0.7763","43.685082","-79.295352","130","130","138","85","181",
"1","0.7783","43.685082","-79.295331","130","130","137","85","180",
"1","0.7803","43.685082","-79.295309","130","130","137","85","180",
"1","0.7823","43.685087","-79.295277","130","130","137","85","180",
"1","0.7848","43.685087","-79.295256","130","130","137","84","180",
"1","0.7875","43.685087","-79.295223","130","130","137","84","179",
"1","0.79","43.685087","-79.295202","130","130","136","83","178",
"1","0.7923","43.685087","-79.29517","130","130","136","83","179",
"1","0.7945","43.685087","-79.295148","130","130","136","82","180",
"1","0.7963","43.685087","-79.295127","130","130","136","82","181",
"1","0.798","43.685087","-79.295095","130","130","136","82","179",
"1","0.7997","43.685087","-79.295073","130","130","136","82","178",
"1","0.8018","43.685087","-79.295052","130","130","135","82","177",
"1","0.8038","43.685093","-79.29502","130","130","135","82","176",
"1","0.8059","43.685093","-79.294998","130","130","135","82","175",
"1","0.8079","43.685093","-79.294977","130","130","135","82","174",
"1","0.81","43.685098","-79.294944","130","130","135","82","173",
"1","0.8119","43.685103","-79.294923","130","130","134","82","173",
"1","0.8138","43.685103","-79.294901","130","130","134","82","173",
"1","0.8156","43.685109","-79.29488","130","130","135","82","173",
"1","0.8174","43.685114","-79.294859","130","130","135","82","172",
"1","0.8192","43.685119","-79.294837","130","130","135","82","171",
"1","0.8215","43.685119","-79.294805","130","130","135","82","169",
"1","0.8238","43.685125","-79.294783","130","130","136","82","168",
"1","0.8259","43.68513","-79.294762","130","130","136","82","167",
"1","0.8276","43.685141","-79.294741","130","130","136","82","167",
"1","0.8293","43.685146","-79.294719","130","130","136","82","168",
"1","0.8312","43.685152","-79.294698","130","130","136","82","168",
"1","0.8332","43.685162","-79.294676","130","130","136","82","167",
"1","0.8351","43.685168","-79.294655","130","130","135","82","167",
"1","0.8368","43.685178","-79.294633","130","130","135","82","168",
"1","0.8385","43.685184","-79.294612","130","130","135","82","170",
"1","0.8404","43.685195","-79.29459","130","130","135","82","171",
"1","0.8425","43.6852","-79.294569","130","130","135","82","172",
"1","0.8446","43.685211","-79.294547","130","130","135","82","172",
"1","0.8468","43.685216","-79.294526","130","130","135","82","173",
"1","0.8491","43.685221","-79.294505","130","130","135","82","173",
"1","0.8511","43.685227","-79.294483","130","130","135","82","173",
"1","0.8531","43.685237","-79.294451","130","130","135","82","172",
"1","0.855","43.685243","-79.294429","130","130","135","82","171",
"1","0.8568","43.685248","-79.294408","130","130","135","82","171",
"1","0.8586","43.685254","-79.294387","130","130","135","82","172",
"1","0.8604","43.685259","-79.294365","130","130","135","82","173",
"1","0.8623","43.685264","-79.294344","130","130","135","82","173",
"1","0.8642","43.68527","-79.294322","130","130","136","82","173",
"1","0.8667","43.685275","-79.29429","130","130","137","83","175",
"1","0.8691","43.68528","-79.294268","130","130","138","83","177",
"1","0.8715","43.685286","-79.294247","130","130","139","84","180",
"1","0.8737","43.685291","-79.294226","130","130","140","84","182",
"1","0.8758","43.685296","-79.294204","130","130","141","85","183",
"1","0.8777","43.685302","-79.294172","130","130","141","86","184",
"1","0.8795","43.685307","-79.29415","130","130","141","85","183",
"1","0.8813","43.685313","-79.294129","130","130","142","84","182",
"1","0.8833","43.685318","-79.294097","130","130","142","82","182",
"1","0.8853","43.685323","-79.294075","130","130","142","80","183",
"1","0.8874","43.685329","-79.294054","130","130","142","79","184",
"1","0.8895","43.685334","-79.294032","130","130","142","77","184",
"1","0.8915","43.685334","-79.294","130","130","142","76","184",
"1","0.8935","43.685339","-79.293979","130","130","142","75","183",
"1","0.8955","43.685339","-79.293957","130","130","142","76","183",
"1","0.8978","43.685339","-79.293925","130","130","142","77","182",
"1","0.9003","43.685345","-79.293904","130","130","142","77","182",
"1","0.9027","43.685345","-79.293882","130","130","142","78","181",
"1","0.9052","43.685345","-79.29385","130","130","142","79","181",
"1","0.9077","43.68535","-79.293829","130","130","142","80","182",
"1","0.91","43.68535","-79.293796","130","130","142","80","184",
"1","0.912","43.68535","-79.293775","130","130","142","80","184",
